ref;value;Conteggio elementi
C1,C2;100nF;2
C3;4.7uF;1
C4,C5;22pF;2
C6..C12;100nF;7
C13;4.7uF;1
C14..C17;100nF;4
C18;220nF;1
C20;4.7uF;1
C21;1uF;1
C22..C24;100nF;3
C25;100uF;1
C26,C27;33pF;2
CN1;MICROSD;1
CN2;BARREL-JACK;1
CN3;USB Device;1
CN4;USB Host;1
CN5;Ethernet;1
D1;LED_1;1
D2;LED_2;1
D3..D12;LED;10
D13;1N4007;1
D14,D15;LED;2
D16;LED_3;1
D17;LED_4;1
EXP1;Expansion Header 1;1
EXP2;Expansion Header 2;1
J1;ICSP_PIC12;1
J2;ICSP_PIC32;1
JOY1;JOYSTICK;1
JP1;JUMPER;1
R1;470;1
R2;10k;1
R3,R4;470;2
R5;1M;1
R6..R8;470;3
R9;10k;1
R10,R11;4.7k;2
R12;10k;1
R13..R16;470;4
R17;4.7k;1
R18;470;1
R19;4.7k;1
R20..R22;470;3
R23;10k;1
R24;4.7k;1
R25;1.5k;1
R26;33;1
R27;1.5k;1
R28..R31;33;4
R32;2.2k;1
R33;1.5k;1
R34;4.87k;1
R35,R36;2.2k;2
R37..R40;49.9;4
R41..R43;2.2k;3
R44,R45;249;2
R46;510;1
R47;33;1
R48;470;1
R49;330;1
R50;10k;1
R51;470;1
R52;10k;1
R53..R55;470;3
R56..R59;10k;4
R60;0R;1
R61;4,7k;1
SW1;PIC32 USER;1
SW2;PIC32 RESET;1
SW4;PIC12 USER;1
SW5;PIC12 RESET;1
TRIM1,TRIM2;POT;2
TRIM3;CONTRAST;1
U1;PIC32MX795F512L;1
U2;24LC16B;1
U3;MCP23008;1
U4;MIDAS  MC21605C6W-SPR;1
U5;TC72;1
U6;DP83848C;1
U7;LM340;1
U8;MCP1825S;1
U9;PIC12F1822;1
X1;8MHz;1
X2;LP Crystal;1
Y1;50MHZ;1
